Transaction Date,Post Date,Description,Category,Type,Amount,Memo
08/17/2021,08/18/2021,AMZN Mktp US*2D7YO4881,Shopping,Sale,-16.37,
08/17/2021,08/18/2021,GULF OIL 92033926,Gas,Sale,-15.43,
08/18/2021,08/18/2021,FARMER BOBS PARTS &amp; SUPPL,Automotive,Sale,-188.44,
08/16/2021,08/17/2021,COLORWORKS 4 MAYNARD,Home,Sale,-55.24,
08/16/2021,08/17/2021,LOWES #00907*,Home,Sale,-53.64,
08/16/2021,08/17/2021,LOWES #02375*,Home,Sale,-65.28,
08/17/2021,08/17/2021,SP * MEDCLINE(AMENITY),Health & Wellness,Sale,-212.49,
08/13/2021,08/17/2021,GRABULL INC,Food & Drink,Sale,-31.39,
08/16/2021,08/17/2021,BJS FUEL #9209,Gas,Sale,-29.94,
08/15/2021,08/16/2021,MCDONALD'S F1439,Food & Drink,Sale,-1.49,
08/14/2021,08/16/2021,HONEY POT HILL ORCHARD,Food & Drink,Sale,-8.50,
08/15/2021,08/16/2021,AUBUCHON HARDWARE,Home,Sale,-95.92,
08/15/2021,08/16/2021,AUBUCHON HARDWARE,Home,Sale,-40.98,
08/14/2021,08/16/2021,SHAWS OSCO 2584,Groceries,Sale,-72.42,
08/13/2021,08/15/2021,SHAWS OSCO 2584,Groceries,Sale,-59.21,
08/13/2021,08/15/2021,WNYC WQXR NJPR NYPR RADIO,Gifts & Donations,Sale,-5.00,
08/14/2021,08/15/2021,LOWES #00907*,Home,Sale,-192.10,
08/12/2021,08/13/2021,LINKEDIN-671*2456173,Bills & Utilities,Sale,-31.86,
08/10/2021,08/12/2021,Sudbury Park and Recreati,Bills & Utilities,Sale,-8.00,
08/10/2021,08/12/2021,EXXONMOBIL    97442933,Gas,Sale,-38.76,
08/11/2021,08/11/2021,Payment Thank You - Bill,,Payment,6643.60,
08/10/2021,08/11/2021,PANERA BREAD #203555 K,Food & Drink,Sale,-44.36,
08/09/2021,08/11/2021,SHAWS OSCO 2584,Groceries,Sale,-65.02,
08/10/2021,08/11/2021,110 GRILL MAYNARD,Food & Drink,Sale,-61.28,
08/10/2021,08/11/2021,STOP &amp; SHOP 0482,Groceries,Sale,-3.78,
08/10/2021,08/11/2021,MARKET BASKET 00000877,Groceries,Sale,-37.82,
08/10/2021,08/10/2021,Microsoft*OneDrive Standa,Bills & Utilities,Sale,-1.99,
08/07/2021,08/09/2021,SHAWS OSCO 2584,Groceries,Sale,-50.10,
08/08/2021,08/09/2021,EVVIVA TRATTORIA MAYNARD,Food & Drink,Sale,-56.34,
08/08/2021,08/09/2021,AIRBNB  HMCQXZYB99,Travel,Return,229.44,
08/07/2021,08/08/2021,AUBUCHON HARDWARE,Home,Sale,-3.42,
08/05/2021,08/08/2021,Sudbury Park and Recreati,Bills & Utilities,Sale,-8.00,
08/06/2021,08/08/2021,NPG*SCIENTIC AMERICAN,Bills & Utilities,Sale,-29.99,
08/06/2021,08/08/2021,AUBUCHON HARDWARE,Home,Sale,-61.59,
08/06/2021,08/08/2021,LOWES #00907*,Home,Sale,-29.39,
08/06/2021,08/08/2021,CAB STORE HUDSON  MA,Shopping,Sale,-179.52,
08/05/2021,08/06/2021,LOWES #00907*,Home,Sale,-51.41,
08/05/2021,08/06/2021,LOWES #02375*,Home,Sale,-44.99,
08/04/2021,08/05/2021,MARKET BASKET 00000877,Groceries,Sale,-57.06,
08/03/2021,08/05/2021,Sudbury Park and Recreati,Bills & Utilities,Sale,-8.00,
08/03/2021,08/05/2021,SHAWS OSCO 2584,Groceries,Sale,-36.92,
08/03/2021,08/04/2021,HONEY POT HILL ORCHARD,Food & Drink,Sale,-13.50,
08/03/2021,08/04/2021,CVS/PHARMACY #00973,Health & Wellness,Sale,-16.55,
08/03/2021,08/04/2021,Wikimedia 877 600 9454,Gifts & Donations,Sale,-5.35,
08/02/2021,08/03/2021,COLORWORKS 4 MAYNARD,Home,Sale,-62.66,
08/01/2021,08/03/2021,Sudbury Park and Recreati,Bills & Utilities,Sale,-8.00,
08/01/2021,08/02/2021,BERTUCCI'S-MARLBOROUGH O,Food & Drink,Sale,-26.81,
08/01/2021,08/02/2021,LOWES #02375*,Home,Sale,-14.83,
08/01/2021,08/01/2021,ANNUAL MEMBERSHIP FEE,Fees & Adjustments,Fee,-75.00,
07/31/2021,08/01/2021,PAYPAL *DEPALOCOFFE,Groceries,Sale,-79.90,
07/30/2021,08/01/2021,HONEY POT HILL ORCHARD,Food & Drink,Sale,-36.50,
07/30/2021,08/01/2021,COLORWORKS 4 MAYNARD,Home,Return,4.25,
07/31/2021,08/01/2021,MCDONALD'S F4857,Food & Drink,Sale,-3.41,
07/30/2021,08/01/2021,COLORWORKS 4 MAYNARD,Home,Sale,-225.69,
07/31/2021,08/01/2021,SQ *SMALL FARM  INC,Groceries,Sale,-36.00,
07/30/2021,08/01/2021,WHOLEFDS WSF#10620,Groceries,Sale,-23.99,
07/30/2021,08/01/2021,eBay O*22-07404-30796,Shopping,Sale,-4249.99,
07/31/2021,08/01/2021,MAYNARD OUTDOOR STORE INC,Shopping,Sale,-17.43,
07/30/2021,08/01/2021,OKI POKE,Food & Drink,Sale,-30.92,
07/29/2021,08/01/2021,Sudbury Park and Recreati,Bills & Utilities,Sale,-8.00,
07/29/2021,08/01/2021,SHAWS OSCO 2584,Groceries,Sale,-24.09,
07/31/2021,08/01/2021,110 GRILL MAYNARD,Food & Drink,Sale,-36.08,
07/31/2021,08/01/2021,EVVIVA TRATTORIA MAYNARD,Food & Drink,Sale,-21.87,
07/30/2021,08/01/2021,JOANN STORES #472,Shopping,Sale,-39.60,
07/27/2021,07/29/2021,Sudbury Park and Recreati,Bills & Utilities,Sale,-8.00,
07/28/2021,07/29/2021,MCDONALD'S F11668,Food & Drink,Sale,-6.12,
07/27/2021,07/29/2021,SHAWS OSCO 2584,Groceries,Sale,-59.49,
07/28/2021,07/29/2021,AUBUCHON HARDWARE,Home,Sale,-17.29,
07/28/2021,07/29/2021,PANERA BREAD #203426 P,Food & Drink,Sale,-43.15,
07/25/2021,07/27/2021,Sudbury Park and Recreati,Bills & Utilities,Sale,-8.00,
07/26/2021,07/27/2021,AUBUCHON HARDWARE,Home,Sale,-23.35,
07/25/2021,07/26/2021,HONEY POT HILL ORCHARD,Food & Drink,Sale,-8.50,
07/24/2021,07/26/2021,MARKET BASKET 00000877,Groceries,Sale,-78.27,
07/23/2021,07/25/2021,EXXONMOBIL    97442933,Gas,Sale,-23.30,
07/23/2021,07/25/2021,SHAWS OSCO 2584,Groceries,Sale,-34.91,
07/22/2021,07/25/2021,AMZN Mktp US,Shopping,Return,8.49,
07/24/2021,07/25/2021,AIRBNB  HMCQXZYB99,Travel,Sale,-229.44,
07/22/2021,07/25/2021,GRABULL INC,Food & Drink,Sale,-70.57,
07/21/2021,07/23/2021,MARLBOROUGH NISSAN,Automotive,Sale,-71.34,
07/22/2021,07/23/2021,MAYNARD OUTDOOR STORE INC,Shopping,Sale,-5.26,
07/21/2021,07/23/2021,EL HUIPIL MEXICAN RESTAUR,Food & Drink,Sale,-57.47,
07/20/2021,07/22/2021,Sudbury Park and Recreati,Bills & Utilities,Sale,-8.00,
07/20/2021,07/22/2021,NOR*NORTHERN TOOL,Home,Sale,-80.33,
07/21/2021,07/22/2021,TARGET        00025700,Shopping,Sale,-27.26,
07/20/2021,07/22/2021,SHAWS OSCO 2584,Groceries,Sale,-4.99,
07/18/2021,07/20/2021,SHAWS OSCO 2584,Groceries,Sale,-66.62,
07/19/2021,07/20/2021,GEICO MARINE INSURANCE CO,Bills & Utilities,Sale,-77.00,
07/19/2021,07/20/2021,MARKET BASKET 00000877,Groceries,Sale,-32.65,
07/18/2021,07/20/2021,Sudbury Park and Recreati,Bills & Utilities,Sale,-8.00,
07/17/2021,07/19/2021,MARKET BASKET 00000877,Groceries,Sale,-51.82,
07/17/2021,07/19/2021,MARKET BASKET 00000737,Groceries,Sale,-5.98,
07/17/2021,07/19/2021,SHAWS OSCO 2584,Groceries,Sale,-28.25,
07/17/2021,07/19/2021,SHAWS OSCO 2584,Groceries,Sale,-27.96,
07/17/2021,07/19/2021,SHAWS OSCO 2584,Groceries,Sale,-6.98,
07/15/2021,07/18/2021,SHAWS OSCO 2584,Groceries,Sale,-63.94,
07/16/2021,07/18/2021,EVVIVA TRATTORIA MAYNARD,Food & Drink,Sale,-36.64,
07/17/2021,07/18/2021,ERIKSON GRAIN MILL,Shopping,Sale,-9.98,
07/15/2021,07/18/2021,Sudbury Park and Recreati,Bills & Utilities,Sale,-8.00,
07/15/2021,07/18/2021,HOSPICE CARE OF LONG I,Health & Wellness,Sale,-1000.00,
07/16/2021,07/18/2021,COLORWORKS 4 MAYNARD,Home,Sale,-29.73,
07/17/2021,07/18/2021,AMZN Mktp US*2E93N5FF2,Shopping,Sale,-37.17,
07/14/2021,07/16/2021,LITTLETON LUMBER CORP,Home,Sale,-132.72,
07/14/2021,07/16/2021,SHAWS OSCO 2584,Groceries,Sale,-15.93,
07/14/2021,07/15/2021,RED GINGER,Food & Drink,Sale,-54.11,
07/14/2021,07/15/2021,AMZN Mktp US*294TK59R2,Shopping,Sale,-75.31,
07/13/2021,07/15/2021,Sudbury Park and Recreati,Bills & Utilities,Sale,-8.00,
07/13/2021,07/14/2021,WNYC WQXR NJPR NYPR RADIO,Gifts & Donations,Sale,-5.00,
07/12/2021,07/14/2021,LINKEDIN-660*8546963,Bills & Utilities,Sale,-31.86,
07/13/2021,07/14/2021,AUBUCHON HARDWARE,Home,Sale,-10.60,
07/12/2021,07/14/2021,SHAWS OSCO 2584,Groceries,Sale,-43.91,
07/11/2021,07/13/2021,AMZN Mktp US*2949E4960,Shopping,Sale,-18.34,
07/11/2021,07/13/2021,Sudbury Park and Recreati,Bills & Utilities,Sale,-8.00,
07/11/2021,07/12/2021,AMZN Mktp US*2913S7QK2,Shopping,Sale,-39.28,
07/10/2021,07/12/2021,OKI POKE,Food & Drink,Sale,-31.64,
07/11/2021,07/12/2021,MAYNARD OUTDOOR STORE INC,Shopping,Sale,-8.50,
07/11/2021,07/12/2021,EVVIVA TRATTORIA MAYNARD,Food & Drink,Sale,-47.96,
07/11/2021,07/12/2021,110 GRILL MAYNARD,Food & Drink,Sale,-23.98,
07/11/2021,07/12/2021,NAME-CHEAP.COM,Professional Services,Sale,-13.16,
07/08/2021,07/12/2021,REINS NY STYLE DELI,Food & Drink,Sale,-19.80,
07/11/2021,07/12/2021,MAYNARD OUTDOOR STORE INC,Shopping,Sale,-24.33,
07/10/2021,07/11/2021,MARSHALLS #1199,Shopping,Sale,-10.61,
07/10/2021,07/11/2021,Microsoft*OneDrive Standa,Entertainment,Sale,-1.99,
07/09/2021,07/11/2021,STP&amp;SHPFUEL0489,Gas,Sale,-46.77,
07/10/2021,07/11/2021,SQ *SMALL FARM  INC,Groceries,Sale,-6.00,
07/09/2021,07/09/2021,Payment Thank You - Bill,,Payment,4992.46,
07/08/2021,07/09/2021,LOUIES,Food & Drink,Sale,-67.89,
07/08/2021,07/09/2021,STP&amp;SHPFUEL0489,Gas,Sale,-21.91,
07/08/2021,07/09/2021,AMZN Mktp US*294MP5B20,Shopping,Sale,-13.79,
07/07/2021,07/09/2021,EL HUIPIL MEXICAN RESTAUR,Food & Drink,Sale,-30.68,
07/07/2021,07/09/2021,SHAWS OSCO 2584,Groceries,Sale,-67.41,
07/07/2021,07/08/2021,EVVIVA TRATTORIA MAYNARD,Food & Drink,Sale,-28.42,
07/06/2021,07/07/2021,AUBUCHON HARDWARE,Home,Sale,-27.38,
07/06/2021,07/07/2021,AUBUCHON HARDWARE,Home,Sale,-24.96,
07/06/2021,07/07/2021,CVS/PHARMACY #00973,Health & Wellness,Sale,-104.60,
07/06/2021,07/07/2021,BEST BUY MHT  00008201,Shopping,Sale,-416.47,
07/06/2021,07/07/2021,MACYS  SOLOMON POND,Shopping,Sale,-68.53,
07/06/2021,07/07/2021,TIMEXPRESS,Shopping,Sale,-23.38,
07/05/2021,07/06/2021,Wikimedia 877 600 9454,Gifts & Donations,Sale,-5.35,
07/04/2021,07/05/2021,PAYPAL *DEPALOCOFFE,Groceries,Sale,-79.90,
07/03/2021,07/05/2021,SHAWS OSCO 2584,Groceries,Sale,-226.53,
07/03/2021,07/05/2021,AMZN Mktp US*295K27LM2,Shopping,Sale,-149.09,
07/01/2021,07/04/2021,KIMBALL FARM MINI GOLF,Entertainment,Sale,-17.50,
07/01/2021,07/04/2021,OKI POKE,Food & Drink,Sale,-35.73,
07/02/2021,07/04/2021,IM WIRELESS VERIZON STOW,Shopping,Sale,-275.63,
07/02/2021,07/04/2021,AMZN Mktp US*298PK5J50,Shopping,Sale,-136.99,
07/02/2021,07/04/2021,INNOVATIONS HAIR SAL,Personal,Sale,-66.00,
07/02/2021,07/04/2021,AWL*PEARSON EDUCATION,Education,Sale,-13.99,
07/02/2021,07/04/2021,EXXONMOBIL    97442933,Gas,Sale,-38.33,
07/02/2021,07/04/2021,TJ MAXX #400,Shopping,Sale,-77.95,
07/01/2021,07/02/2021,EVVIVA TRATTORIA MAYNARD,Food & Drink,Sale,-55.18,
07/01/2021,07/02/2021,110 GRILL MAYNARD,Food & Drink,Sale,-30.53,
07/01/2021,07/02/2021,TWIN SEAFOOD,Groceries,Sale,-30.00,
07/01/2021,07/02/2021,PAYPAL *LHWJAY1987 EBAY L,Shopping,Sale,-30.37,
06/30/2021,07/01/2021,MCDONALD'S F7474,Food & Drink,Sale,-9.37,
06/29/2021,07/01/2021,GRABULL INC,Food & Drink,Sale,-53.92,
06/30/2021,07/01/2021,STP&amp;SHPFUEL0489,Gas,Sale,-21.13,
06/28/2021,06/30/2021,Amazon.com*298G240Z1,Shopping,Sale,-17.63,
06/28/2021,06/30/2021,Amazon.com*216V13KB2,Shopping,Sale,-29.39,
06/28/2021,06/30/2021,SHAWS OSCO 2584,Groceries,Sale,-57.74,
06/29/2021,06/30/2021,LOWES #02375*,Home,Return,30.17,
06/29/2021,06/30/2021,LOWES #02375*,Home,Sale,-48.79,
06/28/2021,06/30/2021,LITTLETON LUMBER CORP,Home,Sale,-152.12,
06/28/2021,06/29/2021,AMZN Mktp US*214QG0212,Shopping,Sale,-12.70,
06/27/2021,06/29/2021,THE HOME DEPOT 2669,Home,Sale,-4.43,
06/27/2021,06/29/2021,SHAWS OSCO 2584,Groceries,Sale,-33.44,
06/28/2021,06/29/2021,COLORWORKS 4 MAYNARD,Home,Sale,-26.55,
06/27/2021,06/29/2021,THE HOME DEPOT 2607,Home,Return,3.69,
06/27/2021,06/28/2021,EVVIVA TRATTORIA MAYNARD,Food & Drink,Sale,-20.76,
06/26/2021,06/28/2021,THE HOME DEPOT 2607,Home,Sale,-154.51,
06/27/2021,06/28/2021,110 GRILL MAYNARD,Food & Drink,Sale,-23.98,
06/26/2021,06/28/2021,BERTUCCI'S - MARLBOROUGH,Food & Drink,Sale,-21.18,
06/26/2021,06/28/2021,SUNOCO 0251907201,Gas,Sale,-39.06,
06/24/2021,06/27/2021,SHAWS OSCO 2584,Groceries,Sale,-23.94,
06/26/2021,06/27/2021,338213 LOYAL COMPANION,Shopping,Sale,-41.95,
06/26/2021,06/27/2021,ERIKSON GRAIN MILL,Shopping,Sale,-9.98,
06/25/2021,06/27/2021,BURGER KING #5089,Food & Drink,Sale,-11.70,
06/25/2021,06/27/2021,PANERA BREAD #202129 P,Food & Drink,Sale,-13.78,
06/25/2021,06/27/2021,LOWES #02375*,Home,Sale,-95.56,
06/25/2021,06/27/2021,LOWES #02375*,Home,Sale,-31.54,
06/23/2021,06/25/2021,THE HOME DEPOT 2607,Home,Return,37.23,
06/23/2021,06/25/2021,SHAWS OSCO 2584,Groceries,Sale,-112.45,
06/24/2021,06/25/2021,AMERICANBLINDS.COM #2151,Home,Sale,-1209.11,
06/24/2021,06/25/2021,AMZN Mktp US*211B47QE0,Shopping,Sale,-27.59,
06/23/2021,06/24/2021,Nike.com,Shopping,Sale,-55.97,
06/21/2021,06/23/2021,EL HUIPIL MEXICAN RESTAUR,Food & Drink,Sale,-40.08,
06/20/2021,06/23/2021,REINS NY STYLE DELI,Food & Drink,Sale,-31.33,
06/22/2021,06/23/2021,EVVIVA TRATTORIA MAYNARD,Food & Drink,Sale,-39.86,
06/20/2021,06/22/2021,IHOP,Food & Drink,Sale,-49.90,
06/20/2021,06/22/2021,EMMAS CAFE,Food & Drink,Sale,-5.05,
06/21/2021,06/22/2021,COLORWORKS 4 MAYNARD,Home,Sale,-42.47,
06/20/2021,06/21/2021,BP#6638126STRASGLOBAL,Gas,Sale,-25.00,
06/20/2021,06/21/2021,LOWES #02375*,Home,Return,132.78,
06/20/2021,06/21/2021,LOWES #02375*,Home,Sale,-63.24,
06/19/2021,06/21/2021,BREAKING VENDING LLC,Food & Drink,Sale,-1.60,
06/19/2021,06/21/2021,BREAKING VENDING LLC,Food & Drink,Sale,-1.60,
06/19/2021,06/21/2021,BREAKING VENDING LLC,Food & Drink,Sale,-1.60,
06/20/2021,06/21/2021,TST* NANCY S AIR FIELD CA,Food & Drink,Sale,-31.88,
06/19/2021,06/21/2021,BREAKING VENDING LLC,Food & Drink,Sale,-1.60,
06/19/2021,06/21/2021,SHAWS OSCO 2584,Groceries,Sale,-49.73,
06/20/2021,06/21/2021,MCDONALD'S F1834,Food & Drink,Sale,-6.40,
06/20/2021,06/21/2021,STP&amp;SHPFUEL0489,Gas,Sale,-37.26,
06/20/2021,06/21/2021,NAME-CHEAP.COM,Professional Services,Sale,-13.16,
06/18/2021,06/20/2021,MACYS  SOLOMON POND,Shopping,Sale,-21.90,
06/18/2021,06/20/2021,BERTUCCI'S - MARLBOROUGH,Food & Drink,Sale,-21.18,
06/18/2021,06/20/2021,MACYS  SOLOMON POND,Shopping,Sale,-29.99,
06/18/2021,06/20/2021,FINISH LINE #0675,Shopping,Sale,-50.00,
06/19/2021,06/20/2021,BREAKING VENDING LLC,Food & Drink,Sale,-1.60,
06/18/2021,06/20/2021,Amazon.com*210Y43FS2,Shopping,Sale,-14.86,
06/18/2021,06/20/2021,Amazon.com*2112O0OY2,Shopping,Sale,-9.49,
06/19/2021,06/20/2021,BREAKING VENDING LLC,Food & Drink,Sale,-1.60,
06/18/2021,06/20/2021,BREAKING VENDING LLC,Food & Drink,Sale,-1.60,
06/19/2021,06/20/2021,BREAKING VENDING LLC,Food & Drink,Sale,-1.10,
06/19/2021,06/20/2021,CPAPDIRECT.COM,Health & Wellness,Sale,-534.95,
06/18/2021,06/20/2021,DSW SHOPS AT THE POND,Shopping,Sale,-54.99,
06/19/2021,06/20/2021,NAME-CHEAP.COM,Professional Services,Sale,-30.32,
06/17/2021,06/20/2021,SHELL OIL 57544283005,Gas,Sale,-45.40,
06/16/2021,06/18/2021,SHAWS OSCO 2584,Groceries,Sale,-48.39,
06/17/2021,06/18/2021,TST* NAN S RUSTIC KITCHEN,Food & Drink,Sale,-30.34,
06/16/2021,06/18/2021,LITTLETON LUMBER CORP,Home,Sale,-112.63,
06/15/2021,06/17/2021,SHAWS OSCO 2584,Groceries,Sale,-74.62,
06/16/2021,06/17/2021,AUBUCHON HARDWARE,Home,Sale,-41.34,
06/14/2021,06/16/2021,ROASTED PEPPERS,Food & Drink,Sale,-12.82,
06/13/2021,06/15/2021,EXXONMOBIL    97442933,Gas,Sale,-32.41,
06/13/2021,06/15/2021,THE HOME DEPOT 2607,Home,Sale,-317.69,
06/13/2021,06/14/2021,WNYC WQXR NJPR NYPR RADIO,Gifts & Donations,Sale,-5.00,
06/12/2021,06/14/2021,OKI POKE,Food & Drink,Sale,-44.24,
06/12/2021,06/14/2021,EXXONMOBIL    97442933,Gas,Sale,-43.27,
06/12/2021,06/14/2021,BSO-POPS-TANGLEWOOD ON,Gifts & Donations,Sale,-165.00,
06/12/2021,06/14/2021,SHAWS OSCO 2584,Groceries,Sale,-22.52,
06/12/2021,06/14/2021,LOWES #02375*,Home,Sale,-162.50,
06/12/2021,06/14/2021,SMACK NOODLE,Food & Drink,Sale,-25.81,
06/11/2021,06/13/2021,STP&amp;SHPFUEL0489,Gas,Sale,-44.59,
06/10/2021,06/13/2021,THE HOME DEPOT 2607,Home,Return,148.92,
06/12/2021,06/13/2021,LinkedIn 6505352913,Bills & Utilities,Sale,-31.86,
